title,article-nr,dimensions,price
"SAMSUNG QE65Q80T - TV (65 "", UHD 4K, QLED)",Artikelnummer: 1986529,"163 cm (65 "")",1099.-
"SONY KD-65A8 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 1987906,"164 cm (65 "")",1899.-
"SAMSUNG QE65Q60T - TV (65 "", UHD 4K, QLED)",Artikelnummer: 1986527,"163 cm (65 "")",899.-
"SAMSUNG QE65Q70T - TV (65 "", UHD 4K, QLED)",Artikelnummer: 1986528,"163 cm (65 "")",999.-
"SAMSUNG QE65Q90T - TV (65 "", UHD 4K, QLED)",Artikelnummer: 1986530,"163 cm (65 "")",1699.-
"SAMSUNG UE70TU7170U - TV (70 "", UHD 4K, LCD)",Artikelnummer: 2022172,"176 cm (70 "")",799.-
"PHILIPS 65PUS7805/12 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 1995699,"164 cm (65 "")",799.-
"LG OLED65BX6LB - TV (65 "", UHD 4K, OLED)",Artikelnummer: 2016438,"164 cm (65 "")",1499.-
"SONY KD-65XH9005 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 1996701,"164 cm (65 "")",1199.-
"SONY KD-65AG9 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 1916178,"164 cm (65 "")",2399.-
"SONY KD-65X7055 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 1987901,"164 cm (65 "")",739.-
"PHILIPS 70PUS8545/12 - TV (70 "", UHD 4K, LCD)",Artikelnummer: 1995704,"178 cm (70 "")",1099.-
"SAMSUNG QE65Q800T - TV (65 "", UHD 8K, QLED)",Artikelnummer: 1986531,"163 cm (65 "")",2399.-
"SAMSUNG UE65TU7090U - TV (65 "", UHD 4K, LCD)",Artikelnummer: 2041848,"163 cm (65 "")",729.-
"SONY KD-65A85 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 1987905,"164 cm (65 "")",1999.-
"SAMSUNG QE65LS03T The Frame 4.0 - TV (65 "", UHD 4K, QLED)",Artikelnummer: 1994619,"163 cm (65 "")",2299.-
"PHILIPS 65PUS8545/12 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 1995700,"164 cm (65 "")",999.-
"PHILIPS 65OLED855/12 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 1995698,"164 cm (65 "")",1999.-
"PANASONIC TX-65HZC2004 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 2042901,"164 cm (65 "")",3499.-
"PHILIPS 65OLED805/12 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 1995693,"164 cm (65 "")",1999.-
"PHILIPS 70PUS7805/12 - TV (70 "", UHD 4K, LCD)",Artikelnummer: 1995703,"178 cm (70 "")",999.-
"PANASONIC TX-65HZC1004 - TV (65 "", UHD 4K, OLED)",Artikelnummer: 2042900,"164 cm (65 "")",1599.-
"PANASONIC TX-65HXW804 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 2042895,"164 cm (65 "")",1031.-
"PANASONIC TX-65HXW904 - TV (65 "", UHD 4K, LCD)",Artikelnummer: 2042896,"164 cm (65 "")",1400.-
